Page,Visitors,Total
"/",3040,6201
"/products",927,2096
"/products/honor-win-rt",822,1079
"/products/redmi-turbo-5-max",443,576
"/categories/mobiles",416,1476
"/products/redmi-turbo-4pro",394,512
"/products/oneplus-ace-6",387,518
"/products/realme-neo-8",345,435
"/products/honor-500",271,335
"/products/honor-500-pro",268,330
"/products/motorola-edge-70",260,286
"/categories/one-plus-mobiles",248,475
"/categories",239,399
"/categories/honor-mobiles",194,372
"/products/oneplus-15-china",194,255
"/products/oneplus-15r",188,216
"/cart",181,403
"/products/honor-magic-8-pro-global",164,197
"/login",151,288
"/products/poco-x-7-pro",145,193
"/categories/poco-mobiles",138,251
"/products/poco-f-7",128,143
"/categories/redmi-mobiles",120,207
"/categories/xiaomi-mobiles",118,155
"/categories/realme-mobiles",117,168
"/products/oneplus-ace-5",116,140
"/categories/redmagic-mobiles",110,165
"/products/oneplus-15-global",101,115
"/deals",87,109
"/products/honor-win",84,102
"/products/oneplus-13r",84,99
"/products/realme-gt-8-pro-global",83,102
"/categories/oppo-mobiles",80,89
"/categories/samsumg-mobiles",80,97
"/products/poco-f-8-pro",78,98
"/most-selling",75,133
"/products/poco-f-8-ultra",73,84
"/products/redmagic-11-pro",69,81
"/products/xiaomi-17-pro-max",68,83
"/products/oneplus-ace-6-cover",65,79
"/branches",57,77
"/products/honor-magic-7-pro-global",57,61
"/products/poco-f-7-ultra",55,76
"/products/redmagic-astra-gaming-tablet",55,64
"/categories/case",52,76
"/categories/tablets",51,67
"/categories/cmf-nothig-mobiles",49,60
"/signup",49,79
"/checkout",48,93
"/categories/google-mobiles",46,48
"/products/samsung-galaxy-s-25-ultra",46,52
"/categories/infinix-mobiles",44,52
"/categories/oneplus-case",42,47
"/products/oneplus-nord-4",41,47
"/products/redmagic-10pro",41,44
"/products/oppo-k-13-turbo-pro",39,43
"/verify",37,47
"/products/honor-magic-pad-2",33,36
"/contact",30,36
"/wishlist",29,44
"/products/zte-nubia-z-70-ultra",26,29
"/products/one-plus-13",22,28
"/products/zte-nubia-z-80-ultra",21,23
"/categories/charger",20,34
"/products/oneplus-pad-3",20,21
"/products/one-plus-pad2",19,25
"/categories/cooler",18,31
"/categories/apple",17,18
"/categories/memo-cooler",17,22
"/categories/xiaomi-charger",16,20
"/categories/screen",14,20
"/products/infinix-gt-30-pro",14,20
"/products/oneplus-pad-3-screen",14,14
"/products/poco-f-7-pro",14,18
"/categories/oneplus-charger",13,13
"/products/samsung-galaxy-tab-s-9-ultra-5g",13,14
"/products/screen-redmagic-astra",13,20
"/admin",10,13
"/categories/oneplus-keyboard",10,13
"/categories/redmagic-tablets",10,16
"/products/oneplus-15-cover",10,12
"/products/oneplus-ace-6-screen",10,11
"/products/google-pixel-9pro-xl",9,10
"/products/redmagic-nova",9,9
"/products/xiaomi-pad-7",9,10
"/admin/orders",8,11
"/admin/products",8,37
"/products/redmagic-10-air",8,8
"/products/redmagic-11-pro-screen",8,9
"/products/redmi-turbo-3-china",8,9
"/products/oppo-reno-15",7,8
"/products/xiaomi-14t-pro",7,7
"/products/xiaomi-pad-7pro",7,8
"/reset-password",7,13
"/products/cover-redmagic-11-pro",6,7
"/products/memo-cx-08-pro",6,7
"/products/realme-gt-6-china",6,8
"/products/xiaomi-14t",6,7
"/admin/settings",5,6
"/products/cmf-noting-3a",5,5
"/products/realme-14pro",5,5
"/products/samsung-galaxy-tab-s-10-fe-wifi",5,6
"/products/xiaomi-charger-120w",5,5
"/categories/poco-screen",4,5
"/products/oneplus-pad-3-smart-keyboard",4,5
"/products/poco-f-7-cover",4,4
"/products/redmagic-10s-pro",4,4
"/products/redmi-note-14pro-5g",4,6
"/products/samsung-galaxy-tab-s-10-fe",4,4
"/products/samsung-galaxy-tab-s-11-ultra-5g",4,5
"/products/screen-turbo-4-pro",4,4
"/admin/analytics",3,3
"/categories/keyboard",3,3
"/categories/oneplus-screen",3,3
"/categories/ugreen-mobiles",3,4
"/products/cmf-nothing-3a-pro",3,3
"/products/nilkin-case",3,3
"/products/oneplus-13s",3,3
"/products/poco-f-7-ultra-cover",3,4
"/profile",3,5
"/admin/products/cmej9nie40001l20491w206l4/edit",2,2
"/admin/products/cmhaxyjw00001kz04ny7ew45w/edit",2,2
"/admin/products/cmkvwbia00003l404nkziqyjc/edit",2,4
"/admin/products/cmlciib2s0002le04juvuhesi/edit",2,2
"/admin/products/cmlcmjv120001jp04g5ziq1aj/edit",2,2
"/policies",2,2
"/products/cover-redmagic-astra",2,2
"/products/oneplus-ace-5-screen",2,2
"/products/oneplus-supervooc",2,2
"/products/poco-x-7pro-screen-protector",2,2
"/products/redmagic-charger-80w",2,4
"/products/screen-poco-f-7-ultra",2,2
